parameter_id,domain,parameter_name,value,unit,value_type,status,source,reference_source,formula_or_rule,rounding,notes
dungeon.high_tier.void_refining.boss_defence,dungeon,Void Refining boss defence,2400,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.void_refining.boss_accuracy,dungeon,Void Refining boss accuracy,120,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.void_refining.boss_attack_interval_seconds,dungeon,Void Refining boss attack interval,4.5,seconds,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,>=0.001,one decimal,Await formal balance artifact
dungeon.high_tier.void_refining.boss_element,dungeon,Void Refining boss element,water,element,enum,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,neutral|metal|wood|water|fire|earth,exact,Await formal balance artifact
dungeon.high_tier.void_refining.skills,dungeon,Void Refining boss skills,"[{""id"":""signature_suppression"",""kind"":""output_suppression"",""cooldownSeconds"":300,""durationSeconds"":4,""magnitude"":25},{""id"":""spirit_burn"",""kind"":""damage_over_time"",""cooldownSeconds"":120,""durationSeconds"":12,""magnitude"":30}]",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,supported full_v1 skill schema,exact,DoT semantics require formal approval
dungeon.high_tier.void_refining.resistances,dungeon,Void Refining resistances,"{""controlPercent"":35,""damageOverTimePercent"":40,""outputSuppressionPercent"":30}",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,percent fields 0..100,exact,Await formal balance artifact
dungeon.high_tier.void_refining.auto_pill,dungeon,Void Refining auto pill,"{""thresholdPercent"":40,""healPerUse"":250,""targetPercent"":80,""maxUses"":1}",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,target >= threshold,exact,Await formal balance artifact
dungeon.high_tier.body_unity.boss_attack,dungeon,Body Unity boss attack,1400,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.body_unity.boss_defence,dungeon,Body Unity boss defence,5600,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.body_unity.boss_accuracy,dungeon,Body Unity boss accuracy,125,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.body_unity.boss_attack_interval_seconds,dungeon,Body Unity boss attack interval,4.0,seconds,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,>=0.001,one decimal,Await formal balance artifact
dungeon.high_tier.body_unity.boss_element,dungeon,Body Unity boss element,fire,element,enum,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,neutral|metal|wood|water|fire|earth,exact,Await formal balance artifact
dungeon.high_tier.body_unity.skills,dungeon,Body Unity boss skills,"[{""id"":""signature_suppression"",""kind"":""output_suppression"",""cooldownSeconds"":300,""durationSeconds"":5,""magnitude"":30},{""id"":""spirit_burn"",""kind"":""damage_over_time"",""cooldownSeconds"":120,""durationSeconds"":14,""magnitude"":60}]",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,supported full_v1 skill schema,exact,DoT semantics require formal approval
dungeon.high_tier.body_unity.resistances,dungeon,Body Unity resistances,"{""controlPercent"":40,""damageOverTimePercent"":45,""outputSuppressionPercent"":35}",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,percent fields 0..100,exact,Await formal balance artifact
dungeon.high_tier.body_unity.auto_pill,dungeon,Body Unity auto pill,"{""thresholdPercent"":40,""healPerUse"":250,""targetPercent"":80,""maxUses"":1}",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,target >= threshold,exact,Await formal balance artifact
dungeon.high_tier.great_vehicle.boss_attack,dungeon,Great Vehicle boss attack,3600,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.great_vehicle.boss_defence,dungeon,Great Vehicle boss defence,12500,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.great_vehicle.boss_accuracy,dungeon,Great Vehicle boss accuracy,130,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.great_vehicle.boss_attack_interval_seconds,dungeon,Great Vehicle boss attack interval,3.5,seconds,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,>=0.001,one decimal,Await formal balance artifact
dungeon.high_tier.great_vehicle.boss_element,dungeon,Great Vehicle boss element,earth,element,enum,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,neutral|metal|wood|water|fire|earth,exact,Await formal balance artifact
dungeon.high_tier.great_vehicle.skills,dungeon,Great Vehicle boss skills,"[{""id"":""signature_suppression"",""kind"":""output_suppression"",""cooldownSeconds"":300,""durationSeconds"":6,""magnitude"":35},{""id"":""spirit_burn"",""kind"":""damage_over_time"",""cooldownSeconds"":120,""durationSeconds"":16,""magnitude"":120}]",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,supported full_v1 skill schema,exact,DoT semantics require formal approval
dungeon.high_tier.great_vehicle.resistances,dungeon,Great Vehicle resistances,"{""controlPercent"":45,""damageOverTimePercent"":50,""outputSuppressionPercent"":40}",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,percent fields 0..100,exact,Await formal balance artifact
dungeon.high_tier.great_vehicle.auto_pill,dungeon,Great Vehicle auto pill,"{""thresholdPercent"":40,""healPerUse"":250,""targetPercent"":80,""maxUses"":1}",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,target >= threshold,exact,Await formal balance artifact
dungeon.high_tier.tribulation.boss_attack,dungeon,Tribulation boss attack,9000,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.tribulation.boss_defence,dungeon,Tribulation boss defence,26000,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.tribulation.boss_accuracy,dungeon,Tribulation boss accuracy,135,rating,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit candidate,integer,Await formal balance artifact
dungeon.high_tier.tribulation.boss_attack_interval_seconds,dungeon,Tribulation boss attack interval,3.0,seconds,number,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,>=0.001,one decimal,Await formal balance artifact
dungeon.high_tier.tribulation.boss_element,dungeon,Tribulation boss element,neutral,element,enum,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,neutral|metal|wood|water|fire|earth,exact,Await formal balance artifact
dungeon.high_tier.tribulation.skills,dungeon,Tribulation boss skills,"[{""id"":""signature_suppression"",""kind"":""output_suppression"",""cooldownSeconds"":300,""durationSeconds"":8,""magnitude"":40},{""id"":""spirit_burn"",""kind"":""damage_over_time"",""cooldownSeconds"":120,""durationSeconds"":18,""magnitude"":240}]",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,supported full_v1 skill schema,exact,DoT semantics require formal approval
dungeon.high_tier.tribulation.resistances,dungeon,Tribulation resistances,"{""controlPercent"":50,""damageOverTimePercent"":55,""outputSuppressionPercent"":45}",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,percent fields 0..100,exact,Await formal balance artifact
dungeon.high_tier.tribulation.auto_pill,dungeon,Tribulation auto pill,"{""thresholdPercent"":40,""healPerUse"":250,""targetPercent"":80,""maxUses"":1}",json,object,proposal_v1,product-approved FI-04 recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,target >= threshold,exact,Await formal balance artifact
random_event.runtime.version,random_event,Random event runtime version,random_event_runtime_v1,version,enum,proposal_v1,product-approved random-event recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,explicit semantic version,exact,Runtime implementation is proposal until central release merge
random_event.roll_interval_hours,random_event,Random event roll interval,168,hours,number,proposal_v1,product-approved random-event recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,UTC floor window,integer,Window anchor is Unix epoch
random_event.max_active,random_event,Maximum active random events,1,count,number,proposal_v1,product-approved random-event recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,mutually exclusive,integer,One event per window
random_event.spirit_tide.chance,random_event,Spirit tide chance,0.20,ratio,number,proposal_v1,product-approved random-event recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,"ordered roll [0,.2)",fixed,Canonical event table
random_event.spirit_tide.duration_hours,random_event,Spirit tide duration,6,hours,number,proposal_v1,product-approved random-event recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,active overlap seconds,integer,Canonical event table
random_event.spirit_tide.production_multiplier,random_event,Spirit tide production multiplier,1.25,multiplier,number,proposal_v1,product-approved random-event recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,production only,fixed,Canonical event table
random_event.beast_raid.chance,random_event,Beast raid chance,0.10,ratio,number,proposal_v1,product-approved random-event recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,"ordered roll [.2,.3)",fixed,Canonical event table
random_event.beast_raid.duration_hours,random_event,Beast raid duration,4,hours,number,proposal_v1,product-approved random-event recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,active overlap seconds,integer,Canonical event table
random_event.beast_raid.production_multiplier,random_event,Beast raid production multiplier,0.80,multiplier,number,proposal_v1,product-approved random-event recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,production only,fixed,Canonical event table
random_event.none.chance,random_event,No event chance,0.70,ratio,number,proposal_v1,product-approved random-event recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,"ordered roll [.3,1)",fixed,Canonical event table
random_event.formula.complete_window_expected_factor,random_event,Complete window expected production factor,1.0013095238,factor,number,proposal_v1,product-approved random-event recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,"1+(0.2*6*0.25+0.1*4*-0.2)/168",10 decimals,Canonical complete-window baseline
random_event.formula.2160h_expected_factor,random_event,2160 hour expected production factor,1.0012222222,factor,number,proposal_v1,product-approved random-event recommendation,docs/洞天正式输入设计草案_FI04_随机事件.md,1+floor(2160/168)*weightedDelta/2160,10 decimals,Canonical truncated-horizon baseline
