parameter_id,domain,parameter_name,value,unit,value_type,status,source,reference_source,formula_or_rule,rounding,notes
building.level.max,building,Building maximum level,5,level,constant,frozen_v1,洞天设计,"","","",V1参数
building.level.speed_multiplier_1,building,Building level 1 speed multiplier,1,ratio,scalar,frozen_v1,洞天设计,"","","",V1参数
building.level.speed_multiplier_2,building,Building level 2 speed multiplier,1.1,ratio,scalar,frozen_v1,洞天设计,"","","",V1参数
building.level.speed_multiplier_3,building,Building level 3 speed multiplier,1.25,ratio,scalar,frozen_v1,洞天设计,"","","",V1参数
building.level.speed_multiplier_4,building,Building level 4 speed multiplier,1.45,ratio,scalar,frozen_v1,洞天设计,"","","",V1参数
building.level.speed_multiplier_5,building,Building level 5 speed multiplier,1.7,ratio,scalar,frozen_v1,洞天设计,"","","",V1参数
building.upgrade.cost_growth,building,Building upgrade cost growth,1.8,ratio,scalar,frozen_v1,洞天设计,"","","",V1参数
building.upgrade.spirit_stone_base_cost.training_room,building,training_room upgrade base cost,1000,spirit_stone,scalar,frozen_v1,洞天设计,"","","",V1参数
building.upgrade.spirit_stone_base_cost.alchemy_room,building,alchemy_room upgrade base cost,1200,spirit_stone,scalar,frozen_v1,洞天设计,"","","",V1参数
building.upgrade.spirit_stone_base_cost.forge_room,building,forge_room upgrade base cost,1500,spirit_stone,scalar,frozen_v1,洞天设计,"","","",V1参数
building.upgrade.spirit_stone_base_cost.spirit_farm,building,spirit_farm upgrade base cost,800,spirit_stone,scalar,frozen_v1,洞天设计,"","","",V1参数
recipe.alchemy_basic.herb_cost,recipe,Basic alchemy herb cost,2,spirit_herb_per_batch,scalar,frozen_v1,洞天设计,"","","",V1参数
recipe.alchemy_basic.stone_cost,recipe,Basic alchemy stone cost,1,spirit_stone_per_batch,scalar,frozen_v1,洞天设计,"","","",V1参数
recipe.alchemy_basic.output,recipe,Basic alchemy output,1,pill_per_batch,scalar,frozen_v1,洞天设计,"","","",V1参数
recipe.forge_basic.ore_cost,recipe,Basic forge ore cost,4,spirit_ore_per_item,scalar,frozen_v1,洞天设计,"","","",V1参数
recipe.forge_basic.wood_cost,recipe,Basic forge wood cost,2,spirit_wood_per_item,scalar,frozen_v1,洞天设计,"","","",V1参数
recipe.forge_basic.stone_cost,recipe,Basic forge stone cost,2,spirit_stone_per_item,scalar,frozen_v1,洞天设计,"","","",V1参数
recipe.forge_basic.output,recipe,Basic forge output,1,equipment,scalar,frozen_v1,洞天设计,"","","",V1参数
economy.currency.spirit_stone.unit_value,economy,Spirit stone reference unit value,1,value_points_per_spirit_stone,scalar,frozen_v1,洞天设计,"",one spirit stone is the internal value point numeraire,integer,灵石内部价值基准
economy.resource.spirit_wood.base_rate,economy,spirit_wood base rate,120,quantity_per_hour,scalar,frozen_v1,洞天设计,"","","",V1参数
economy.resource.spirit_ore.base_rate,economy,spirit_ore base rate,240,quantity_per_hour,scalar,frozen_v1,洞天设计,"","","",V1参数
economy.resource.spirit_herb.base_rate,economy,spirit_herb base rate,240,quantity_per_hour,scalar,frozen_v1,洞天设计,"","","",V1参数
economy.resource.spirit_stone.base_rate,economy,spirit_stone base rate,240,quantity_per_hour,scalar,frozen_v1,洞天设计,"","","",V1参数
breakthrough.qi_to_foundation.cultivation_cost,breakthrough,Qi to Foundation cultivation cost,20000,cultivation_xp,cost,frozen_v1,洞天设计,"","","",V1参数
breakthrough.qi_to_foundation.spirit_stone_cost,breakthrough,Qi to Foundation stone cost,5000,spirit_stone,cost,frozen_v1,洞天设计,"","","",V1参数
breakthrough.qi_to_foundation.pill_cost,breakthrough,Qi to Foundation pill cost,10,pill,cost,frozen_v1,洞天设计,"","","",V1参数
breakthrough.qi_to_foundation.scroll_cost,breakthrough,Qi to Foundation scroll cost,1,ancient_scroll,cost,frozen_v1,洞天设计,"","","",V1参数
breakthrough.foundation_to_core.cultivation_cost,breakthrough,Foundation to Core cultivation cost,70000,cultivation_xp,cost,frozen_v1,洞天设计,"","","",V1参数
breakthrough.foundation_to_core.spirit_stone_cost,breakthrough,Foundation to Core stone cost,20000,spirit_stone,cost,frozen_v1,洞天设计,"","","",V1参数
breakthrough.foundation_to_core.pill_cost,breakthrough,Foundation to Core pill cost,50,pill,cost,frozen_v1,洞天设计,"","","",V1参数
breakthrough.foundation_to_core.scroll_cost,breakthrough,Foundation to Core scroll cost,5,ancient_scroll,cost,frozen_v1,洞天设计,"","","",V1参数
breakthrough.qi_to_foundation.success_chance,breakthrough,Qi to Foundation success chance,100,percent,probability,frozen_v1,洞天设计,"","","",V1参数
breakthrough.foundation_to_core.success_chance,breakthrough,Foundation to Core success chance,100,percent,probability,frozen_v1,洞天设计,"","","",V1参数
breakthrough.attempt.failure_loss_percent,breakthrough,Breakthrough failure loss,0,percent,scalar,frozen_v1,洞天设计,"","","",V1参数
breakthrough.attempt.retry_cooldown,breakthrough,Breakthrough retry cooldown,0,seconds,scalar,frozen_v1,洞天设计,"","","",V1参数
breakthrough.core_to_nascent_soul.cultivation_cost,breakthrough,core to nascent_soul cultivation cost,227500,cultivation_xp,cost,frozen_v1,洞天设计,"",round((target_to - target_from) * 0.35),integer,高阶突破修为成本
breakthrough.core_to_nascent_soul.spirit_stone_cost,breakthrough,core to nascent_soul spirit_stone cost,50000,spirit_stone,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.core_to_nascent_soul.pill_cost,breakthrough,core to nascent_soul pill cost,200,pill,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.core_to_nascent_soul.ancient_scroll_cost,breakthrough,core to nascent_soul ancient_scroll cost,20,ancient_scroll,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.core_to_nascent_soul.demon_core_cost,breakthrough,core to nascent_soul demon_core cost,50,demon_core,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.core_to_nascent_soul.millennium_herb_cost,breakthrough,core to nascent_soul millennium_herb cost,100,millennium_herb,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.core_to_nascent_soul.meteor_iron_cost,breakthrough,core to nascent_soul meteor_iron cost,100,meteor_iron,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.nascent_soul_to_divine_transformation.cultivation_cost,breakthrough,nascent_soul to divine_transformation cultivation cost,700000,cultivation_xp,cost,frozen_v1,洞天设计,"",round((target_to - target_from) * 0.35),integer,高阶突破修为成本
breakthrough.nascent_soul_to_divine_transformation.spirit_stone_cost,breakthrough,nascent_soul to divine_transformation spirit_stone cost,200000,spirit_stone,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.nascent_soul_to_divine_transformation.pill_cost,breakthrough,nascent_soul to divine_transformation pill cost,800,pill,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.nascent_soul_to_divine_transformation.ancient_scroll_cost,breakthrough,nascent_soul to divine_transformation ancient_scroll cost,80,ancient_scroll,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.nascent_soul_to_divine_transformation.demon_core_cost,breakthrough,nascent_soul to divine_transformation demon_core cost,200,demon_core,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.nascent_soul_to_divine_transformation.millennium_herb_cost,breakthrough,nascent_soul to divine_transformation millennium_herb cost,400,millennium_herb,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.nascent_soul_to_divine_transformation.meteor_iron_cost,breakthrough,nascent_soul to divine_transformation meteor_iron cost,400,meteor_iron,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.divine_transformation_to_void_refining.cultivation_cost,breakthrough,divine_transformation to void_refining cultivation cost,2100000,cultivation_xp,cost,frozen_v1,洞天设计,"",round((target_to - target_from) * 0.35),integer,高阶突破修为成本
breakthrough.divine_transformation_to_void_refining.spirit_stone_cost,breakthrough,divine_transformation to void_refining spirit_stone cost,800000,spirit_stone,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.divine_transformation_to_void_refining.pill_cost,breakthrough,divine_transformation to void_refining pill cost,3200,pill,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.divine_transformation_to_void_refining.ancient_scroll_cost,breakthrough,divine_transformation to void_refining ancient_scroll cost,320,ancient_scroll,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.divine_transformation_to_void_refining.demon_core_cost,breakthrough,divine_transformation to void_refining demon_core cost,800,demon_core,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.divine_transformation_to_void_refining.millennium_herb_cost,breakthrough,divine_transformation to void_refining millennium_herb cost,1600,millennium_herb,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.divine_transformation_to_void_refining.meteor_iron_cost,breakthrough,divine_transformation to void_refining meteor_iron cost,1600,meteor_iron,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.void_refining_to_body_unity.cultivation_cost,breakthrough,void_refining to body_unity cultivation cost,6300000,cultivation_xp,cost,frozen_v1,洞天设计,"",round((target_to - target_from) * 0.35),integer,高阶突破修为成本
breakthrough.void_refining_to_body_unity.spirit_stone_cost,breakthrough,void_refining to body_unity spirit_stone cost,3200000,spirit_stone,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.void_refining_to_body_unity.pill_cost,breakthrough,void_refining to body_unity pill cost,12800,pill,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.void_refining_to_body_unity.ancient_scroll_cost,breakthrough,void_refining to body_unity ancient_scroll cost,1280,ancient_scroll,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.void_refining_to_body_unity.demon_core_cost,breakthrough,void_refining to body_unity demon_core cost,3200,demon_core,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.void_refining_to_body_unity.millennium_herb_cost,breakthrough,void_refining to body_unity millennium_herb cost,6400,millennium_herb,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.void_refining_to_body_unity.meteor_iron_cost,breakthrough,void_refining to body_unity meteor_iron cost,6400,meteor_iron,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.body_unity_to_great_vehicle.cultivation_cost,breakthrough,body_unity to great_vehicle cultivation cost,18900000,cultivation_xp,cost,frozen_v1,洞天设计,"",round((target_to - target_from) * 0.35),integer,高阶突破修为成本
breakthrough.body_unity_to_great_vehicle.spirit_stone_cost,breakthrough,body_unity to great_vehicle spirit_stone cost,12800000,spirit_stone,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.body_unity_to_great_vehicle.pill_cost,breakthrough,body_unity to great_vehicle pill cost,51200,pill,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.body_unity_to_great_vehicle.ancient_scroll_cost,breakthrough,body_unity to great_vehicle ancient_scroll cost,5120,ancient_scroll,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.body_unity_to_great_vehicle.demon_core_cost,breakthrough,body_unity to great_vehicle demon_core cost,12800,demon_core,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.body_unity_to_great_vehicle.millennium_herb_cost,breakthrough,body_unity to great_vehicle millennium_herb cost,25600,millennium_herb,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.body_unity_to_great_vehicle.meteor_iron_cost,breakthrough,body_unity to great_vehicle meteor_iron cost,25600,meteor_iron,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.great_vehicle_to_tribulation.cultivation_cost,breakthrough,great_vehicle to tribulation cultivation cost,56700000,cultivation_xp,cost,frozen_v1,洞天设计,"",round((target_to - target_from) * 0.35),integer,高阶突破修为成本
breakthrough.great_vehicle_to_tribulation.spirit_stone_cost,breakthrough,great_vehicle to tribulation spirit_stone cost,51200000,spirit_stone,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.great_vehicle_to_tribulation.pill_cost,breakthrough,great_vehicle to tribulation pill cost,204800,pill,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.great_vehicle_to_tribulation.ancient_scroll_cost,breakthrough,great_vehicle to tribulation ancient_scroll cost,20480,ancient_scroll,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.great_vehicle_to_tribulation.demon_core_cost,breakthrough,great_vehicle to tribulation demon_core cost,51200,demon_core,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.great_vehicle_to_tribulation.millennium_herb_cost,breakthrough,great_vehicle to tribulation millennium_herb cost,102400,millennium_herb,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
breakthrough.great_vehicle_to_tribulation.meteor_iron_cost,breakthrough,great_vehicle to tribulation meteor_iron cost,102400,meteor_iron,cost,frozen_v1,洞天设计,"",base_cost * 4^transition_index,integer,高阶突破资源成本
dungeon.high_tier.supply_window_ratio,dungeon,High-tier expedition supply window,0.75,ratio,policy,frozen_v1,洞天设计,"",usable transition time ratio,percent,高阶资源供给窗口
dungeon.high_tier.combat_mode,dungeon,High-tier combat contract mode,signature_only_v1,mode,policy,frozen_v1,洞天设计,"",full_v1 requires a complete six-realm combat contract,,"当前冻结包只启用 signature 技能；完整 Boss 战斗契约缺参时发布拒绝"
dungeon.high_tier.combat_pill_cost_included,dungeon,High-tier combat pill cost included in supply rate,1,boolean,policy,frozen_v1,洞天设计,"",all registered realms include boss budget,fixed,高阶资源供给已含已登记境界战斗丹药预算
dungeon.high_tier.boss_encounter_interval_hours,dungeon,High-tier Boss encounter interval,168,hours,policy,frozen_v1,洞天设计,"",one encounter per interval,integer,高阶 Boss 候选遭遇节奏
dungeon.high_tier.entry_gate.enabled,dungeon,High-tier entry profile gate,1,boolean,policy,frozen_v1,洞天设计,"",require collected P10 profile before high-tier Boss activity,fixed,高阶远征入口门槛开关
dungeon.high_tier.entry_gate.profile,dungeon,High-tier entry gate profile,collected_p10,profile,policy,frozen_v1,洞天设计,"",P10 collected-extension profile,enum,高阶远征入口门槛构筑
dungeon.high_tier.nascent_soul.boss_pill_budget_per_encounter,dungeon,nascent_soul high-tier Boss pill budget,47,pill,derived,frozen_v1,洞天设计,"",fixed-seed extension combat max pill budget,integer,高阶 Boss 候选单次丹药预算
dungeon.high_tier.nascent_soul.combat_pill_cost_included,dungeon,nascent_soul high-tier combat pill included,1,boolean,policy,frozen_v1,洞天设计,"",supply rate includes boss_pill_budget / encounter_interval,fixed,该境界高阶供给已含战斗丹药预算
dungeon.high_tier.nascent_soul.boss_failure_recovery_seconds,dungeon,nascent_soul high-tier Boss failure recovery,60,seconds,policy,frozen_v1,洞天设计,"",failed attempt cooldown,integer,高阶 Boss 失败恢复冷却
dungeon.high_tier.nascent_soul.boss_reward_on_failure,dungeon,nascent_soul reward on Boss failure,0,boolean,policy,frozen_v1,洞天设计,"",failure has no reward,fixed,高阶 Boss 失败不发奖励
dungeon.high_tier.nascent_soul.boss_pill_charge_on_failure,dungeon,nascent_soul pill charge on Boss failure,0,boolean,policy,frozen_v1,洞天设计,"",failure does not charge reserved pills,fixed,高阶 Boss 失败不扣丹药
dungeon.high_tier.nascent_soul.boss_pity_advance_on_failure,dungeon,nascent_soul pity advance on failure,0,boolean,policy,frozen_v1,洞天设计,"",failure does not advance pity,fixed,高阶 Boss 失败不推进保底
dungeon.high_tier.nascent_soul.boss_failure.state_revision_increment,dungeon,nascent_soul failure revision increment,1,revision,policy,frozen_v1,洞天设计,"",cooldown state is committed even without reward,integer,失败冷却状态版本递增
dungeon.high_tier.nascent_soul.boss_failure.require_expected_revision,dungeon,nascent_soul failure expected revision,1,boolean,policy,frozen_v1,洞天设计,"",CAS required for cross-device retry,fixed,跨设备失败重试必须带状态版本
dungeon.high_tier.nascent_soul.boss_failure.idempotent_attempt,dungeon,nascent_soul failed attempt idempotency,1,boolean,policy,frozen_v1,洞天设计,"",same attempt ID returns original failure,fixed,失败尝试 ID 幂等
dungeon.high_tier.nascent_soul.boss_natural_failure_rate,dungeon,nascent_soul natural Boss failure rate,0,percent,derived,frozen_v1,洞天设计,"",zero failures in fixed growth-profile survival sample,2dp,由逐秒成长档战斗样本推导的自然失败率
dungeon.high_tier.nascent_soul.boss_failure_stops_expedition,dungeon,nascent_soul failure stops expedition,0,boolean,policy,frozen_v1,洞天设计,"",failure recovery is local to encounter,fixed,高阶 Boss 失败不停止小时级远征供给
dungeon.high_tier.nascent_soul.boss_drop.ancient_scroll.chance,dungeon,nascent_soul Boss ancient scroll drop chance,100,percent,probability,frozen_v1,洞天设计,"",success-only independent drop,integer,高阶 Boss 独立古修残卷掉落概率
dungeon.high_tier.nascent_soul.boss_drop.ancient_scroll.amount,dungeon,nascent_soul Boss ancient scroll drop amount,1,ancient_scroll,derived,frozen_v1,洞天设计,"",realm scale * base amount,integer,高阶 Boss 独立古修残卷掉落数量
dungeon.high_tier.nascent_soul.boss_drop.demon_core.chance,dungeon,nascent_soul Boss demon core drop chance,100,percent,probability,frozen_v1,洞天设计,"",success-only independent drop,integer,高阶 Boss 独立妖丹掉落概率
dungeon.high_tier.nascent_soul.boss_drop.demon_core.amount,dungeon,nascent_soul Boss demon core drop amount,2,demon_core,derived,frozen_v1,洞天设计,"",realm scale * base amount,integer,高阶 Boss 独立妖丹掉落数量
dungeon.high_tier.nascent_soul.boss_drop.equipment.chance,dungeon,nascent_soul Boss equipment drop chance,20,percent,probability,frozen_v1,洞天设计,"",success-only independent equipment roll,integer,高阶 Boss 独立装备掉落概率
dungeon.high_tier.nascent_soul.boss_drop.equipment.amount,dungeon,nascent_soul Boss equipment drop amount,1,equipment,derived,frozen_v1,洞天设计,"",one equipment per successful roll,integer,高阶 Boss 独立装备掉落数量
dungeon.high_tier.nascent_soul.boss_drop.equipment.quality,dungeon,nascent_soul Boss equipment drop quality,rare,quality,constant,frozen_v1,洞天设计,"",fixed quality pool member,"",高阶 Boss 装备掉落品质
dungeon.high_tier.divine_transformation.boss_pill_budget_per_encounter,dungeon,divine_transformation high-tier Boss pill budget,28,pill,derived,frozen_v1,洞天设计,"",fixed-seed extension combat max pill budget,integer,高阶 Boss 候选单次丹药预算
dungeon.high_tier.divine_transformation.combat_pill_cost_included,dungeon,divine_transformation high-tier combat pill included,1,boolean,policy,frozen_v1,洞天设计,"",supply rate includes boss_pill_budget / encounter_interval,fixed,该境界高阶供给已含战斗丹药预算
dungeon.high_tier.divine_transformation.boss_failure_recovery_seconds,dungeon,divine_transformation high-tier Boss failure recovery,60,seconds,policy,frozen_v1,洞天设计,"",failed attempt cooldown,integer,高阶 Boss 失败恢复冷却
dungeon.high_tier.divine_transformation.boss_reward_on_failure,dungeon,divine_transformation reward on Boss failure,0,boolean,policy,frozen_v1,洞天设计,"",failure has no reward,fixed,高阶 Boss 失败不发奖励
dungeon.high_tier.divine_transformation.boss_pill_charge_on_failure,dungeon,divine_transformation pill charge on Boss failure,0,boolean,policy,frozen_v1,洞天设计,"",failure does not charge reserved pills,fixed,高阶 Boss 失败不扣丹药
dungeon.high_tier.divine_transformation.boss_pity_advance_on_failure,dungeon,divine_transformation pity advance on failure,0,boolean,policy,frozen_v1,洞天设计,"",failure does not advance pity,fixed,高阶 Boss 失败不推进保底
dungeon.high_tier.divine_transformation.boss_failure.state_revision_increment,dungeon,divine_transformation failure revision increment,1,revision,policy,frozen_v1,洞天设计,"",cooldown state is committed even without reward,integer,失败冷却状态版本递增
dungeon.high_tier.divine_transformation.boss_failure.require_expected_revision,dungeon,divine_transformation failure expected revision,1,boolean,policy,frozen_v1,洞天设计,"",CAS required for cross-device retry,fixed,跨设备失败重试必须带状态版本
dungeon.high_tier.divine_transformation.boss_failure.idempotent_attempt,dungeon,divine_transformation failed attempt idempotency,1,boolean,policy,frozen_v1,洞天设计,"",same attempt ID returns original failure,fixed,失败尝试 ID 幂等
